skill_id,skill_name
c46c557c-aff4-4c93-ac75-73632185a8e3,medical equipment sales
f7ab90ed-aa0b-4f7c-90d5-4dfe648dd3bb,key competitors
1b47c0ac-71cf-46a8-aa13-47fa4b694790,terminology
667ca104-6dcc-4694-9c65-29ad839edb88,technology
19f56bd3-72f2-4d33-9e3a-01b417022ac8,trends
ac0d2c4c-b20f-4f1c-afca-cc7bb478bfc9,challenges
cb3f9e94-7d8b-49b0-8651-c6c47795bfb8,reimbursement
ac694160-1a05-4154-a3c2-693087b95368,government regulation
4589dd09-6e87-4c74-ad2d-ab2bb8c2b130,bd offerings
593f8776-d45a-4893-aef4-ecf4360a6a91,pipeline management
d0963412-5c98-438a-b12a-8c9bbaf81eba,opportunity planning
a2801cf1-7c3e-4219-9210-7c5a73879c5c,solution sales process
464fc5cc-be06-4595-b21c-a02c640d3888,customer relationships
23adb96c-0f2b-42e8-820e-6b9a781bbd1a,collaboration
ad6b5400-50bb-4c90-b44a-856a93ec1815,negotiation
be1f2306-3e89-4371-b8c8-c579b83e84d7,internal and external customer satisfaction
6e5b7609-cf27-44a8-b418-0db40ba70c15,trust building
59d1d268-fa41-405e-abc0-ea5da4ae5757,sales opportunities
59bc6c90-9c32-4781-8d6a-70eecd4d86a3,new solution introduction
e4b41962-8d9d-4227-95dd-a6293b2c4c75,pharmacy
74cbf5f9-28a1-4358-81e7-ec00db285efb,it
503eb944-b3e5-4910-8196-fb3047e92954,nursing
cd6c78aa-92fc-40a4-a2b1-9b9207435055,csuite
ef0afe5c-f1da-4cd4-a199-cb130e23aca6,bachelor's degree
fe992486-251d-4181-95aa-ceef283cebd8,travel
4e49eeb5-b77d-45b8-9d61-aa7cfb9d1e39,driver's license
4f3cf829-d1b7-46fa-9e8c-4c53d88ac3d8,bachelor of science in nursing
7acb10d5-3bc5-4919-9336-98258cae6930,masters degree in nursing
5767f959-92c8-4681-b53f-60fccb8ea45d,care management experience
6ec5b7bc-9484-434f-ad5c-df906a885350,clinical experience in nursing
ee76942d-7784-497b-8a6a-63c5467112c7,licensure to practice nursing in michigan
de8e96e5-5eb0-45e6-9c21-94162a7d3817,population management
52085883-9d87-4c7e-9f1f-5a56414cd4d6,selfmanagement
67c0d5b7-0590-4c44-808d-58b9604ad20d,education
6c3f2dbc-cd2a-4842-a920-12bdd29d565b,oversight of registries
2f5db6d3-3678-4417-bf8a-9fa8c3467360,patient education
229dd449-9738-4c17-ab7b-04dcfa7f6ec1,patient selfmanagement
c67babc5-0d7c-45f4-b84f-11cbac78bcb0,patient care coordination
1b132731-c71d-4990-b4f8-1ddaedfdae0c,chronic condition management
640055d3-e830-49df-bc0f-6e3c098d6bd1,complex illness management
a130a67a-3e3e-42dd-97c2-fd601f3b1277,hospitalization avoidance
47a73fbc-4c8b-4f98-81c9-61d92d3278d2,emergency room visit avoidance
0bff8edc-2d0b-4123-b3a2-140803456090,restaurant operations management
de2a1049-9ecb-48a9-b7fa-7b6a57e21180,inventory management
5f30d728-3636-4273-a326-7b5c9db825f4,food and beverage ordering
63ca3b1f-c290-4739-9feb-05f8fe22e896,profit optimization
d92211af-7cd3-459d-bdcb-cd1622958cf4,guest service
33435f61-2573-42e1-b71b-a2cafd7c9318,front and back of house coordination
e0b310e2-3b16-4de6-a7ff-1311f254fed1,employee performance management
411890d9-e617-4d41-9198-d74c020afcfc,discipline and rewards management
e964f1e4-9390-408e-b27b-26722c8aa636,safety and sanitation maintenance
9b2f3f16-2fc0-41f6-9f7b-01eef1f3572e,directional flow management
8f5b437a-1a20-4c9f-ade4-9c6995bf416a,daily records maintenance
5aef8dd8-bf9f-4466-b568-926ab35a4fb6,profit and loss statement preparation
